Req_ID,Token_size,Model,Hallucination,Unambiguous,Consistent,Complete,Correct,Hidden,,,,,,,,,,
0,0,0,0,1,1,0,1,1,,,,,,,,,,
1,0,0,0,1,1,1,1,0,,,,,,,,,,
2,0,0,0,0,1,1,1,0,,,,,,,,,,
3,0,0,0,1,1,0,1,0,,,,,,,,,,
4,0,0,0,1,1,0,1,0,,,,,,,,,,
5,0,0,0,1,1,1,1,0,,,,,,,,,,
6,0,0,0,0,1,1,1,0,,,,,,,,,,
7,0,0,0,0,1,1,1,0,,,,,,,,,,
8,0,0,0,1,1,1,1,0,,,,,,,,,,
9,0,0,0,1,1,1,1,0,,,,,,,,,,
10,0,1,0,1,1,1,1,0,,,,,,,,,,
11,0,1,0,1,1,1,1,0,,,,,,,,,,
12,0,1,0,1,1,1,1,0,,,,,,,,,,
13,0,1,0,1,0,0,1,0,,,,,,,,,,
14,0,1,0,1,1,0,1,0,,,,,,,,,,
15,0,1,0,1,1,0,1,0,,,,,,,,,,
16,0,1,0,1,0,0,0,0,,,,,,,,,,
17,0,1,0,1,1,1,1,1,,,,,,,,,,
18,0,1,0,1,1,1,1,1,,,,,,,,,,
19,0,2,0,1,1,1,1,0,,,,,,,,,,
20,0,2,0,1,1,0,1,0,,,,,,,,,,
21,0,2,0,1,1,1,1,0,,,,,,,,,,
22,0,2,0,0,1,1,1,0,,,,,,,,,,
23,0,2,0,1,1,1,1,0,,,,,,,,,,
24,0,2,0,1,1,1,1,0,,,,,,,,,,
25,0,2,0,1,1,0,0,0,,,,,,,,,,
26,0,2,0,1,1,0,1,0,,,,,,,,,,
27,0,2,0,1,1,0,0,0,,,,,,,,,,
28,0,2,0,1,1,1,0,1,,,,,,,,,,
29,1,0,0,1,1,0,1,0,,,,,,,,,,
30,1,0,0,1,1,1,1,0,,,,,,,,,,
31,1,0,0,1,1,0,1,0,,,,,,,,,,
32,1,0,0,1,1,1,1,0,,,,,,,,,,
33,1,0,0,1,1,0,1,0,,,,,,,,,,
34,1,0,0,1,1,1,0,0,,,,,,,,,,
35,1,0,0,1,1,0,1,0,,,,,,,,,,
36,1,0,0,0,1,0,1,0,,,,,,,,,,
37,1,0,0,1,1,1,1,0,,,,,,,,,,
38,1,0,0,1,1,1,1,0,,,,,,,,,,
39,1,1,0,1,1,0,1,0,,,,,,,,,,
40,1,1,0,1,1,0,1,0,,,,,,,,,,
41,1,1,0,1,1,0,0,0,,,,,,,,,,
42,1,1,0,1,1,1,1,0,,,,,,,,,,
43,1,1,1,1,1,1,1,1,,,,,,,,,,
44,1,1,0,1,1,0,1,0,,,,,,,,,,
45,1,1,0,1,1,0,1,0,,,,,,,,,,
46,1,1,0,0,1,0,0,0,,,,,,,,,,
47,1,2,0,1,1,0,1,0,,,,,,,,,,
48,1,2,0,1,1,0,1,0,,,,,,,,,,
49,1,2,0,1,1,1,1,0,,,,,,,,,,
50,1,2,0,1,1,1,1,0,,,,,,,,,,
51,1,2,0,1,1,1,1,0,,,,,,,,,,
52,1,2,0,1,1,0,1,0,,,,,,,,,,
53,1,2,0,1,1,1,1,0,,,,,,,,,,
54,1,2,0,1,1,0,1,1,,,,,,,,,,
55,1,2,0,1,1,1,1,0,,,,,,,,,,
56,1,2,0,1,1,0,1,1,,,,,,,,,,
57,2,0,0,1,1,0,1,1,,,,,,,,,,
58,2,0,0,0,1,1,1,0,,,,,,,,,,
59,2,0,0,1,1,1,1,0,,,,,,,,,,
60,2,0,0,1,1,0,0,0,,,,,,,,,,
61,2,0,0,1,1,1,1,1,,,,,,,,,,
62,2,0,0,1,1,0,1,0,,,,,,,,,,
63,2,0,0,1,1,0,1,0,,,,,,,,,,
64,2,0,0,1,1,1,1,0,,,,,,,,,,
65,2,0,0,1,1,1,0,0,,,,,,,,,,
66,2,0,0,0,1,0,0,1,,,,,,,,,,
67,2,1,0,1,1,0,1,0,,,,,,,,,,
68,2,1,0,1,1,0,0,0,,,,,,,,,,
69,2,1,0,1,1,1,1,0,,,,,,,,,,
70,2,1,0,1,0,0,1,0,,,,,,,,,,
71,2,1,0,1,1,1,1,0,,,,,,,,,,
72,2,1,0,1,1,0,1,0,,,,,,,,,,
73,2,1,0,1,1,0,0,0,,,,,,,,,,
74,2,1,0,0,1,0,0,0,,,,,,,,,,
75,2,1,0,0,1,0,1,0,,,,,,,,,,
76,2,1,0,1,0,0,1,0,,,,,,,,,,
77,2,2,0,1,1,1,1,0,,,,,,,,,,
78,2,2,0,1,1,0,1,0,,,,,,,,,,
79,2,2,0,1,1,1,1,1,,,,,,,,,,
80,2,2,0,1,1,0,1,0,,,,,,,,,,
81,2,2,0,1,1,0,1,1,,,,,,,,,,
82,2,2,0,1,1,1,1,0,,,,,,,,,,
83,2,2,0,1,1,1,1,0,,,,,,,,,,
84,2,2,0,0,1,0,1,0,,,,,,,,,,
85,2,2,0,1,1,0,1,1,,,,,,,,,,
86,2,2,0,1,1,1,1,0,,,,,,,,,,
87,2,2,0,1,1,1,1,0,,,,,,,,,,
88,2,2,0,1,1,1,1,0,,,,,,,,,,
89,0,0,0,1,1,1,1,0,,,,,,,,,,
90,0,0,0,1,1,0,1,0,,,,,,,,,,
91,0,0,0,1,1,1,1,0,,,,,,,,,,
92,0,0,0,1,1,0,1,0,,,,,,,,,,
93,0,0,0,1,1,1,1,0,,,,,,,,,,
94,0,0,0,0,1,0,1,0,,,,,,,,,,
95,0,0,0,1,1,0,0,0,,,,,,,,,,
96,0,0,0,1,1,0,1,0,,,,,,,,,,
97,0,0,0,0,1,0,1,0,,,,,,,,,,
98,0,1,0,1,1,0,1,0,,Req_ID,Token_size,Model,Hallucination,Unambiguous,Consistent,Complete,Correct,Hidden
99,0,1,0,1,1,0,1,1,,,,,,,,,,
100,0,1,0,1,1,0,0,0,,,,,,,,,,
101,0,1,0,1,1,0,1,0,,,,,,,,,,
102,0,1,0,1,1,0,1,0,,,,,,,,,,
103,0,1,0,1,1,0,1,0,,,,,,,,,,
104,0,1,0,1,1,0,1,0,,,,,,,,,,
105,0,1,0,1,1,0,1,0,,,,,,,,,,
106,0,1,0,1,1,0,1,0,,,,,,,,,,
107,0,1,0,1,1,1,1,0,,,,,,,,,,
108,0,1,0,1,1,1,1,0,,,,,,,,,,
109,0,2,0,1,1,1,1,0,,,,,,,,,,
110,0,2,0,1,1,1,1,0,,,,,,,,,,
111,0,2,0,1,1,1,1,0,,,,,,,,,,
112,0,2,0,1,1,0,1,0,,,,,,,,,,
113,0,2,0,1,1,0,1,0,,,,,,,,,,
114,0,2,0,1,1,1,1,0,,,,,,,,,,
115,0,2,0,1,1,1,1,0,,,,,,,,,,
116,0,2,0,1,1,0,0,0,,,,,,,,,,
117,0,2,0,1,1,0,1,1,,,,,,,,,,
118,0,2,0,1,1,1,1,0,,,,,,,,,,
119,1,0,0,1,1,0,1,0,,,,,,,,,,
120,1,0,0,1,1,0,1,0,,,,,,,,,,
121,1,0,0,1,1,1,1,0,,,,,,,,,,
122,1,0,0,1,1,1,1,0,,,,,,,,,,
123,1,0,0,1,1,1,1,0,,,,,,,,,,
124,1,0,0,1,1,0,1,0,,,,,,,,,,
125,1,0,0,1,1,1,1,0,,,,,,,,,,
126,1,0,0,1,1,0,1,0,,,,,,,,,,
127,1,1,0,1,1,1,1,0,,,,,,,,,,
128,1,1,0,1,0,1,0,0,,,,,,,,,,
129,1,1,0,1,0,1,1,0,,,,,,,,,,
130,1,1,0,1,1,0,0,0,,,,,,,,,,
